"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"$RT_OFF$";"04/06/2024 19:16:22";0;2;45447803037,1065
"$RT_OFF$";"04/06/2024 19:16:40";0;2;45447803240,8333
"variables supervision_IRRADIATION";"04/06/2024 19:18:13";0;1;45447804322,0949
"DATA LOGGER_VALUE{0}";"04/06/2024 19:18:13";244;1;45447804322,0949
"DATA LOGGER_VALUE{1}";"04/06/2024 19:18:13";306;1;45447804322,0949
"DATA LOGGER_VALUE{5}";"04/06/2024 19:18:13";571;1;45447804322,0949
"variables supervision_ANGLE VENT";"04/06/2024 19:18:13";234;1;45447804322,0949
"variables supervision_VITESSE VENT";"04/06/2024 19:18:13";28;1;45447804322,0949
"DATA_METEO_Static_1{16}";"04/06/2024 19:18:13";311;1;45447804322,0949
"variables supervision_IRRADIATION";"04/06/2024 19:19:13";0;1;45447805016,0301
"DATA LOGGER_VALUE{0}";"04/06/2024 19:19:13";244;1;45447805016,0301
"DATA LOGGER_VALUE{1}";"04/06/2024 19:19:13";306;1;45447805016,0301
"DATA LOGGER_VALUE{5}";"04/06/2024 19:19:13";571;1;45447805016,0301
"variables supervision_ANGLE VENT";"04/06/2024 19:19:13";234;1;45447805016,0301
"variables supervision_VITESSE VENT";"04/06/2024 19:19:13";28;1;45447805016,0301
"DATA_METEO_Static_1{16}";"04/06/2024 19:19:13";311;1;45447805016,0301
"variables supervision_IRRADIATION";"04/06/2024 19:20:13";0;1;45447805711,2037
"DATA LOGGER_VALUE{0}";"04/06/2024 19:20:13";244;1;45447805711,2037
"DATA LOGGER_VALUE{1}";"04/06/2024 19:20:13";306;1;45447805711,2037
"DATA LOGGER_VALUE{5}";"04/06/2024 19:20:13";571;1;45447805711,2037
"variables supervision_ANGLE VENT";"04/06/2024 19:20:13";234;1;45447805711,2037
"variables supervision_VITESSE VENT";"04/06/2024 19:20:13";28;1;45447805711,2037
"DATA_METEO_Static_1{16}";"04/06/2024 19:20:13";311;1;45447805711,2037
"variables supervision_IRRADIATION";"04/06/2024 19:21:13";0;1;45447806405,162
"DATA LOGGER_VALUE{0}";"04/06/2024 19:21:13";242;1;45447806405,162
"DATA LOGGER_VALUE{1}";"04/06/2024 19:21:13";298;1;45447806405,162
"DATA LOGGER_VALUE{5}";"04/06/2024 19:21:13";572;1;45447806405,162
"variables supervision_ANGLE VENT";"04/06/2024 19:21:13";230;1;45447806405,162
"variables supervision_VITESSE VENT";"04/06/2024 19:21:13";44;1;45447806405,162
"DATA_METEO_Static_1{16}";"04/06/2024 19:21:13";301;1;45447806405,162
"variables supervision_IRRADIATION";"04/06/2024 19:22:13";0;1;45447807100,3241
"DATA LOGGER_VALUE{0}";"04/06/2024 19:22:13";243;1;45447807100,3241
"DATA LOGGER_VALUE{1}";"04/06/2024 19:22:13";296;1;45447807100,3241
"DATA LOGGER_VALUE{5}";"04/06/2024 19:22:13";572;1;45447807100,3241
"variables supervision_ANGLE VENT";"04/06/2024 19:22:13";225;1;45447807100,3241
"variables supervision_VITESSE VENT";"04/06/2024 19:22:13";32;1;45447807100,3241
"DATA_METEO_Static_1{16}";"04/06/2024 19:22:13";298;1;45447807100,3241
"variables supervision_IRRADIATION";"04/06/2024 19:23:13";0;1;45447807794,2477
"DATA LOGGER_VALUE{0}";"04/06/2024 19:23:13";243;1;45447807794,2477
"DATA LOGGER_VALUE{1}";"04/06/2024 19:23:13";296;1;45447807794,2477
"DATA LOGGER_VALUE{5}";"04/06/2024 19:23:13";571;1;45447807794,2477
"variables supervision_ANGLE VENT";"04/06/2024 19:23:13";251;1;45447807794,2477
"variables supervision_VITESSE VENT";"04/06/2024 19:23:13";34;1;45447807794,2477
"DATA_METEO_Static_1{16}";"04/06/2024 19:23:13";295;1;45447807794,2477
